Temperature,Value,Error
1.530000000000000027e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.550114942528735718e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.570229885057471186e+00,8.986928104572911025e-04,0.000000000000000000e+00
1.590344827586206877e+00,-2.042483660136262813e-05,0.000000000000000000e+00
1.610459770114942568e+00,2.267156862745256518e-03,0.000000000000000000e+00
1.630574712643678259e+00,7.965686274510330733e-04,0.000000000000000000e+00
1.650689655172413728e+00,5.290032679738598809e-03,0.000000000000000000e+00
1.670804597701149419e+00,6.229575163398615167e-03,0.000000000000000000e+00
1.690919540229885110e+00,3.502859477124142806e-03,0.000000000000000000e+00
1.711034482758620801e+00,4.799836601307228001e-03,0.000000000000000000e+00
1.731149425287356269e+00,6.535947712419387656e-04,0.000000000000000000e+00
1.751264367816091960e+00,3.063725490195512435e-04,0.000000000000000000e+00
1.771379310344827651e+00,5.238970588235192238e-03,0.000000000000000000e+00
1.791494252873563120e+00,5.831290849673265164e-03,0.000000000000000000e+00
1.811609195402298811e+00,3.707107843137324998e-03,0.000000000000000000e+00
1.831724137931034502e+00,9.875408496732074326e-03,0.000000000000000000e+00
1.851839080459769971e+00,9.497549019606976728e-04,0.000000000000000000e+00
1.871954022988505661e+00,1.028390522875810564e-02,0.000000000000000000e+00
1.892068965517241352e+00,5.851715686274405748e-03,0.000000000000000000e+00
1.912183908045977043e+00,2.839052287581744771e-03,0.000000000000000000e+00
1.932298850574712734e+00,3.768382352941301860e-03,0.000000000000000000e+00
1.952413793103448203e+00,1.604370915032660161e-02,0.000000000000000000e+00
1.972528735632183894e+00,-1.154003267973768843e-03,0.000000000000000000e+00
1.992643678160919585e+00,2.890114379084929297e-03,0.000000000000000000e+00
2.012758620689655054e+00,1.274509803921552997e-02,0.000000000000000000e+00
2.032873563218390522e+00,-2.798202614379019515e-03,0.000000000000000000e+00
2.052988505747126435e+00,2.665441176470606521e-03,0.000000000000000000e+00
2.073103448275861904e+00,2.951388888888906159e-03,0.000000000000000000e+00
2.093218390804597817e+00,6.464460784313619257e-03,0.000000000000000000e+00
2.113333333333333286e+00,2.250816993464044291e-02,0.000000000000000000e+00
2.133448275862068755e+00,1.520629084967328737e-02,0.000000000000000000e+00
2.153563218390804668e+00,1.409313725490135560e-03,0.000000000000000000e+00
2.173678160919540137e+00,-1.266339869280930230e-03,0.000000000000000000e+00
2.193793103448275605e+00,1.209150326797392427e-02,0.000000000000000000e+00
2.213908045977011518e+00,3.245506535947717541e-02,0.000000000000000000e+00
2.234022988505746987e+00,-4.697712418300636905e-03,0.000000000000000000e+00
2.254137931034482456e+00,2.100694444444439757e-02,0.000000000000000000e+00
2.274252873563218369e+00,-2.971813725490268787e-03,0.000000000000000000e+00
2.294367816091953838e+00,3.202614379084967045e-02,0.000000000000000000e+00
2.314482758620689751e+00,2.164011437908519575e-02,0.000000000000000000e+00
2.334597701149425220e+00,-2.287581699346508124e-03,0.000000000000000000e+00
2.354712643678160688e+00,9.272875816993431108e-03,0.000000000000000000e+00
2.374827586206896157e+00,8.986928104575242493e-03,0.000000000000000000e+00
2.394942528735632070e+00,1.327614379084907092e-03,0.000000000000000000e+00
2.415057471264367539e+00,1.133578431372561646e-02,0.000000000000000000e+00
2.435172413793103452e+00,-2.747140522875723967e-03,0.000000000000000000e+00
2.455287356321838921e+00,1.736111111111116045e-02,0.000000000000000000e+00
2.475402298850574390e+00,2.445874183006535585e-02,0.000000000000000000e+00
2.495517241379310303e+00,-8.067810457516255696e-03,0.000000000000000000e+00
2.515632183908045771e+00,3.293504901960775388e-02,0.000000000000000000e+00
2.535747126436781684e+00,3.224060457516342293e-02,0.000000000000000000e+00
2.555862068965517153e+00,-3.819444444444486386e-03,0.000000000000000000e+00
2.575977011494252622e+00,4.881535947712456469e-03,0.000000000000000000e+00
2.596091954022988091e+00,1.523692810457510927e-02,0.000000000000000000e+00
2.616206896551724004e+00,3.063725490196067547e-03,0.000000000000000000e+00
2.636321839080459917e+00,6.587009803921572981e-03,0.000000000000000000e+00
2.656436781609195386e+00,1.654411764705876475e-02,0.000000000000000000e+00
2.676551724137930854e+00,1.528799019607840481e-02,0.000000000000000000e+00
2.696666666666666323e+00,1.563521241830068131e-02,0.000000000000000000e+00
