Temperature,Value,Error
1.530000000000000027e+00,-9.715992647058822040e-01,3.052146556316135892e-03
1.550114942528735718e+00,-9.695159313725489891e-01,2.684234637139734821e-03
1.570229885057471186e+00,-9.692095588235295489e-01,3.349066006859003318e-03
1.590344827586206877e+00,-9.693933823529412575e-01,2.413870927740879163e-03
1.610459770114942568e+00,-9.659007352941175739e-01,2.598473528307393074e-03
1.630574712643678259e+00,-9.664522058823529216e-01,1.536790820350549111e-03
1.650689655172413728e+00,-9.582414215686274606e-01,3.971580459990104763e-03
1.670804597701149419e+00,-9.530024509803922683e-01,2.282743921648789243e-03
1.690919540229885110e+00,-9.503676470588235947e-01,5.131066945236351963e-03
1.711034482758620801e+00,-9.444852941176471450e-01,4.372966579195851702e-03
1.731149425287356269e+00,-9.464460784313724062e-01,3.511884204158793443e-03
1.751264367816091960e+00,-9.450061274509804488e-01,4.291950283738329812e-03
1.771379310344827651e+00,-9.378676470588235281e-01,3.122328945193377295e-03
1.791494252873563120e+00,-9.326899509803920907e-01,3.951836423595223372e-03
1.811609195402298811e+00,-9.297181372549019329e-01,5.100732356981261574e-03
1.831724137931034502e+00,-9.163909313725490113e-01,4.596371120679276605e-03
1.851839080459769971e+00,-9.216299019607843146e-01,3.818078903773834340e-03
1.871954022988505661e+00,-9.035845588235293935e-01,6.215001234238709538e-03
1.892068965517241352e+00,-9.038296568627451899e-01,7.157652240398582576e-03
1.912183908045977043e+00,-8.994485294117646745e-01,8.871153400751272122e-03
1.932298850574712734e+00,-8.959865196078430349e-01,7.405693406371817791e-03
1.952413793103448203e+00,-8.736519607843138413e-01,1.382108111170196781e-02
1.972528735632183894e+00,-8.865502450980391469e-01,7.676729926673966919e-03
1.992643678160919585e+00,-8.757659313725489891e-01,7.978931766608715614e-03
2.012758620689655054e+00,-8.620404411764706065e-01,1.047209178959531035e-02
2.032873563218390522e+00,-8.731004901960783826e-01,7.112243679483297616e-03
2.052988505747126435e+00,-8.635723039215685848e-01,5.857166899395156029e-03
2.073103448275861904e+00,-8.639093137254901800e-01,5.845536851831549877e-03
2.093218390804597817e+00,-8.540441176470588980e-01,5.162314317444608239e-03
2.113333333333333286e+00,-8.252144607843137081e-01,9.502516665919840885e-03
2.133448275862068755e+00,-8.168198529411764275e-01,1.554070036244152749e-02
2.153563218390804668e+00,-8.189031862745098644e-01,1.299085842358152672e-02
2.173678160919540137e+00,-8.197610294117646523e-01,1.352426896415603007e-02
2.193793103448275605e+00,-8.011948529411764275e-01,1.104636742111362799e-02
2.213908045977011518e+00,-7.617953431372548323e-01,1.475100661912060428e-02
2.234022988505746987e+00,-7.885416666666666963e-01,1.101794520142559963e-02
2.254137931034482456e+00,-7.436580882352941124e-01,2.013204405894801832e-02
2.274252873563218369e+00,-7.705575980392157520e-01,1.630814488213874758e-02
2.294367816091953838e+00,-7.090686274509805376e-01,2.620528027308852842e-02
2.314482758620689751e+00,-7.073529411764705177e-01,1.493918681517666415e-02
2.334597701149425220e+00,-7.116421568627451233e-01,2.028474217526682680e-02
2.354712643678160688e+00,-6.955882352941176183e-01,1.444883604091802901e-02
2.374827586206896157e+00,-6.901348039215686736e-01,1.582847088539718339e-02
2.394942528735632070e+00,-6.908700980392157298e-01,1.311975829496052001e-02
2.415057471264367539e+00,-6.734987745098038880e-01,2.275051072887355683e-02
2.435172413793103452e+00,-6.863051470588235059e-01,1.637744925335933577e-02
2.455287356321838921e+00,-6.538602941176470118e-01,1.901714626292144716e-02
2.475402298850574390e+00,-6.333946078431372806e-01,1.981568131684796619e-02
2.495517241379310303e+00,-6.557291666666665853e-01,2.201751201890526227e-02
2.515632183908045771e+00,-5.951593137254902466e-01,2.291982483510349514e-02
2.535747126436781684e+00,-5.770833333333333925e-01,2.694709465032065626e-02
2.555862068965517153e+00,-5.918504901960784936e-01,1.742364267277760406e-02
2.575977011494252622e+00,-5.771446078431372584e-01,1.956315543567030066e-02
2.596091954022988091e+00,-5.616421568627451011e-01,1.418730968801058812e-02
2.616206896551724004e+00,-5.647977941176469674e-01,2.080383911593976579e-02
2.636321839080459917e+00,-5.533394607843137303e-01,2.006335816330521646e-02
2.656436781609195386e+00,-5.342524509803922017e-01,1.801887373421962729e-02
2.676551724137930854e+00,-5.208639705882353033e-01,1.151129820263638824e-02
2.696666666666666323e+00,-5.041053921568626750e-01,8.739610730132962857e-03
2.716781609195401792e+00,-5.012254901960784270e-01,8.962989879951168554e-03
2.736896551724137705e+00,-5.082107843137254610e-01,9.028932954809653147e-03
2.757011494252873618e+00,-5.116421568627451677e-01,1.154933759285708440e-02
2.777126436781609087e+00,-4.837009803921569207e-01,1.203210117812011405e-02
2.797241379310344556e+00,-4.737745098039215508e-01,1.414817683745555645e-02
2.817356321839080024e+00,-4.816176470588235392e-01,1.223573869345334804e-02
2.837471264367815937e+00,-4.571078431372549433e-01,1.021098846199579128e-02
2.857586206896551406e+00,-4.925551470588235281e-01,1.823344565403045917e-02
2.877701149425287319e+00,-4.767156862745097756e-01,1.689159919109252048e-02
2.897816091954022788e+00,-4.345894607843138191e-01,8.726360550962080492e-03
2.917931034482758257e+00,-4.458026960784313708e-01,1.325621068329720098e-02
2.938045977011493726e+00,-4.390318627450979783e-01,8.235921225409994703e-03
2.958160919540229639e+00,-4.356004901960783826e-01,1.443682008652783476e-02
2.978275862068965552e+00,-4.340379901960784714e-01,5.845403038611408225e-03
2.998390804597701020e+00,-4.108762254901961453e-01,1.151138880325787081e-02
3.018505747126436489e+00,-4.095894607843136859e-01,1.244318947797114217e-02
3.038620689655171958e+00,-4.188112745098038769e-01,9.467413008213673709e-03
3.058735632183907871e+00,-4.224264705882352366e-01,9.258761140164108519e-03
3.078850574712643340e+00,-3.912683823529412019e-01,6.382794117563399781e-03
3.098965517241379253e+00,-3.941176470588235725e-01,5.828813230618367681e-03
3.119080459770114722e+00,-3.818321078431372584e-01,5.048706037204240583e-03
3.139195402298850190e+00,-3.883884803921568984e-01,3.910449518623858138e-03
3.159310344827585659e+00,-3.780024509803922017e-01,8.045908054194328765e-03
3.179425287356321572e+00,-3.758578431372548989e-01,6.783198630606850424e-03
3.199540229885057485e+00,-3.588848039215686292e-01,4.052979331638060720e-03
3.219655172413792954e+00,-3.840992647058823484e-01,7.909456989199358315e-03
3.239770114942528423e+00,-3.745404411764705621e-01,7.077323773645781933e-03
3.259885057471263892e+00,-3.687500000000000222e-01,8.182970604796451983e-03
3.279999999999999805e+00,-3.612132352941176405e-01,8.916207367371847131e-03
