Temperature,Value,Error
1.530000000000000027e+00,9.845894607843138635e-01,1.767692614798005869e-03
1.550114942528735718e+00,9.830269607843137303e-01,1.744620629416881357e-03
1.570229885057471186e+00,9.828124999999999778e-01,2.021671952493763174e-03
1.590344827586206877e+00,9.824448529411764497e-01,1.566899164067774410e-03
1.610459770114942568e+00,9.812499999999999556e-01,1.525586270294327284e-03
1.630574712643678259e+00,9.813112745098038214e-01,9.179822326080136008e-04
1.650689655172413728e+00,9.760416666666665853e-01,2.532926801147934032e-03
1.670804597701149419e+00,9.723651960784313042e-01,1.706910328086287372e-03
1.690919540229885110e+00,9.710784313725490113e-01,3.192160852360570889e-03
1.711034482758620801e+00,9.664522058823530326e-01,3.252378664071519342e-03
1.731149425287356269e+00,9.689031862745098866e-01,2.506207351267974223e-03
1.751264367816091960e+00,9.690870098039215952e-01,2.471932673420109208e-03
1.771379310344827651e+00,9.635110294117646967e-01,1.953457042239822340e-03
1.791494252873563120e+00,9.582414215686274606e-01,3.455677736375179030e-03
1.811609195402298811e+00,9.580575980392156410e-01,3.597743799388124306e-03
1.831724137931034502e+00,9.488664215686272163e-01,3.856847914478330787e-03
1.851839080459769971e+00,9.534926470588235281e-01,2.493085374366923231e-03
1.871954022988505661e+00,9.343749999999999556e-01,6.228537093409488613e-03
1.892068965517241352e+00,9.371629901960784048e-01,7.097219271471069679e-03
1.912183908045977043e+00,9.353553921568626972e-01,7.979160507739000915e-03
1.932298850574712734e+00,9.331188725490194846e-01,6.134774014573579279e-03
1.952413793103448203e+00,9.027573529411764275e-01,2.286109543225896962e-02
1.972528735632183894e+00,9.250612745098040213e-01,6.727681985634045847e-03
1.992643678160919585e+00,7.708333333333332593e-01,1.501021019488651964e-01
2.012758620689655054e+00,8.996017156862745612e-01,1.373447251337651769e-02
2.032873563218390522e+00,9.169730392156862919e-01,6.412227735408037796e-03
2.052988505747126435e+00,9.075367647058822929e-01,6.654203626222053407e-03
2.073103448275861904e+00,9.089460784313725394e-01,5.823908554077382102e-03
