Temperature,Value,Error
1.530000000000000027e+00,5.117205477133825176e-02,7.311302090657748227e-03
1.550114942528735718e+00,5.300719749962383431e-02,5.760056490117839052e-03
1.570229885057471186e+00,5.192340194846130352e-02,7.243391146627030895e-03
1.590344827586206877e+00,5.450546148481960618e-02,4.868929803221283027e-03
1.610459770114942568e+00,5.804888813171919792e-02,6.237690121835925625e-03
1.630574712643678259e+00,6.174719608516461566e-02,4.961881707453472123e-03
1.650689655172413728e+00,6.371683149250065292e-02,8.977486176592443592e-03
1.670804597701149419e+00,7.928230423632499912e-02,8.086176031700356356e-03
1.690919540229885110e+00,8.039829804800256718e-02,9.478295827799540149e-03
1.711034482758620801e+00,8.818243306389103586e-02,1.101556574361855709e-02
1.731149425287356269e+00,7.803198479086782824e-02,1.013139720380801072e-02
1.751264367816091960e+00,7.721911492057512150e-02,6.489099925384102588e-03
1.771379310344827651e+00,9.131691778103559476e-02,6.983074158715459751e-03
1.791494252873563120e+00,9.878201938916696123e-02,1.425805847087509119e-02
1.811609195402298811e+00,9.425086420069392346e-02,8.932005425487428082e-03
1.831724137931034502e+00,1.222671119805214257e-01,1.432737438111285518e-02
1.851839080459769971e+00,1.146029172296323118e-01,6.839199109427499847e-03
1.871954022988505661e+00,1.538848514212717844e-01,2.292712442137847390e-02
1.892068965517241352e+00,1.355818396674220161e-01,1.928423308419863896e-02
1.912183908045977043e+00,1.380167179464145133e-01,1.627342939497542634e-02
1.932298850574712734e+00,1.296362757585959868e-01,1.373723679915710844e-02
1.952413793103448203e+00,1.806194497848700453e-01,4.568198400101928375e-02
1.972528735632183894e+00,1.542965667528673201e-01,1.576442256922512553e-02
1.992643678160919585e+00,1.661083538571801743e-01,1.977160781442903470e-02
2.012758620689655054e+00,2.019600264353475227e-01,3.779671631790027658e-02
2.032873563218390522e+00,1.522267794940246055e-01,1.485315808910050821e-02
2.052988505747126435e+00,1.655611296703301538e-01,1.825487023215836835e-02
2.073103448275861904e+00,1.571486540213455629e-01,1.106166091307030606e-02
2.093218390804597817e+00,1.603029909979607759e-01,1.681775584541441229e-02
2.113333333333333286e+00,1.819959341295112332e-01,1.900064413548116851e-02
2.133448275862068755e+00,1.827519561109021973e-01,2.646443821533972160e-02
2.153563218390804668e+00,2.002624272632279878e-01,2.718124519022406191e-02
2.173678160919540137e+00,1.846525864896443880e-01,2.251637797030120111e-02
2.193793103448275605e+00,1.882322361150584600e-01,2.265262655688667429e-02
2.213908045977011518e+00,2.320301364095452290e-01,3.232591135285457079e-02
2.234022988505746987e+00,1.859933982793981477e-01,1.131804204159718441e-02
2.254137931034482456e+00,2.902054887320869581e-01,3.625834111104841995e-02
2.274252873563218369e+00,2.282828201603039064e-01,2.246025494929834720e-02
2.294367816091953838e+00,2.602097010076486749e-01,2.628913309960975025e-02
2.314482758620689751e+00,2.764746329608457898e-01,2.612476506206507648e-02
2.334597701149425220e+00,2.672666337348134635e-01,1.645544796180803751e-02
2.354712643678160688e+00,2.505405759865931836e-01,1.769521325567902786e-02
2.374827586206896157e+00,2.427335003673826430e-01,1.414215250066334223e-02
2.394942528735632070e+00,2.853627847769725223e-01,1.693364028486613396e-02
2.415057471264367539e+00,2.371217368116610713e-01,1.950083306239629166e-02
2.435172413793103452e+00,2.169295173215769201e-01,1.442475086631195280e-02
2.455287356321838921e+00,2.722025084438396414e-01,2.365833440339558044e-02
2.475402298850574390e+00,2.650853865406460064e-01,1.743713963550640525e-02
2.495517241379310303e+00,2.053407900895414806e-01,1.222711039066176966e-02
2.515632183908045771e+00,2.239916738101693505e-01,1.853487258812466093e-02
2.535747126436781684e+00,1.819350041657979700e-01,2.024507524939538061e-02
2.555862068965517153e+00,1.961034953325876962e-01,1.446972904649177459e-02
2.575977011494252622e+00,2.158969853838194619e-01,1.827014391514232561e-02
2.596091954022988091e+00,2.107896945160892543e-01,1.578597388250452607e-02
2.616206896551724004e+00,2.162077812753432637e-01,1.541118843549108691e-02
2.636321839080459917e+00,1.991354214174647363e-01,1.905470085166133601e-02
2.656436781609195386e+00,2.266363356084319380e-01,2.241923021446214082e-02
2.676551724137930854e+00,1.892369231730317014e-01,1.000428619983353105e-02
2.696666666666666323e+00,1.817537384769163933e-01,1.951042833411157848e-02
2.716781609195401792e+00,1.690011278204530676e-01,1.944595272096443297e-02
2.736896551724137705e+00,1.885635101049260021e-01,1.051249963596246825e-02
2.757011494252873618e+00,1.776422543887716810e-01,1.510449404411370357e-02
2.777126436781609087e+00,1.524438181524775116e-01,1.004272056112728156e-02
2.797241379310344556e+00,1.545846058489323549e-01,1.461375527103135966e-02
2.817356321839080024e+00,1.628972888966735422e-01,1.451664985787884041e-02
2.837471264367815937e+00,1.514678529536122031e-01,1.234091559072033641e-02
2.857586206896551406e+00,1.481391808574139823e-01,1.211660371631922105e-02
2.877701149425287319e+00,1.768687912644412163e-01,2.405792134330072066e-02
2.897816091954022788e+00,1.219918820069896687e-01,1.026386008709096950e-02
2.917931034482758257e+00,1.303823092990929744e-01,9.838183448165513725e-03
2.938045977011493726e+00,1.202895394664775380e-01,8.454293739616593542e-03
2.958160919540229639e+00,1.209634907281167820e-01,7.185273454124927600e-03
2.978275862068965552e+00,1.103152250293637227e-01,1.011919296901863004e-02
2.998390804597701020e+00,1.272810511951678047e-01,1.008889981548847896e-02
3.018505747126436489e+00,9.770073988443613022e-02,9.140685864034863578e-03
3.038620689655171958e+00,1.180774457269645195e-01,5.423456256338751551e-03
3.058735632183907871e+00,1.147495423971983952e-01,7.544911108680205092e-03
3.078850574712643340e+00,1.134797186312149070e-01,1.161812969261112431e-02
3.098965517241379253e+00,1.032656551974533016e-01,8.520260528030097064e-03
3.119080459770114722e+00,8.159282056088412727e-02,5.732508281942958438e-03
3.139195402298850190e+00,9.961080627755165839e-02,4.887098151415980758e-03
3.159310344827585659e+00,9.342303359346276759e-02,9.917490547567048287e-03
3.179425287356321572e+00,7.830718431209926500e-02,6.386561943461674905e-03
3.199540229885057485e+00,7.148153733225787176e-02,5.373199540627671481e-03
3.219655172413792954e+00,8.272117311112550664e-02,5.296078477181156638e-03
3.239770114942528423e+00,7.761938912342324082e-02,3.639923995130767056e-03
3.259885057471263892e+00,8.149529302313092416e-02,7.187190543467125020e-03
3.279999999999999805e+00,7.780147750682084307e-02,6.444923951838692038e-03
