Temperature,Value,Error
1.530000000000000027e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.550114942528735718e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.570229885057471186e+00,2.430892581286939191e-03,0.000000000000000000e+00
1.590344827586206877e+00,2.870136830412317597e-03,0.000000000000000000e+00
1.610459770114942568e+00,-1.174497725153121619e-03,0.000000000000000000e+00
1.630574712643678259e+00,1.604897695839505034e-03,0.000000000000000000e+00
1.650689655172413728e+00,7.393810713697629433e-03,0.000000000000000000e+00
1.670804597701149419e+00,1.572381047566084183e-02,0.000000000000000000e+00
1.690919540229885110e+00,2.941897260480656751e-03,0.000000000000000000e+00
1.711034482758620801e+00,8.467235402203260319e-03,0.000000000000000000e+00
1.731149425287356269e+00,-4.691650020386343989e-03,0.000000000000000000e+00
1.751264367816091960e+00,-1.128058277122664238e-02,0.000000000000000000e+00
1.771379310344827651e+00,8.165951500641047134e-03,0.000000000000000000e+00
1.791494252873563120e+00,3.046643720477458517e-02,0.000000000000000000e+00
1.811609195402298811e+00,-4.555725269439661607e-03,0.000000000000000000e+00
1.831724137931034502e+00,1.896758626477103304e-02,0.000000000000000000e+00
1.851839080459769971e+00,-3.465431227725704333e-03,0.000000000000000000e+00
1.871954022988505661e+00,8.619769114970576851e-02,0.000000000000000000e+00
1.892068965517241352e+00,2.806671645259967152e-02,0.000000000000000000e+00
1.912183908045977043e+00,-3.967248707629936200e-02,0.000000000000000000e+00
1.932298850574712734e+00,-1.472447172970331453e-02,0.000000000000000000e+00
1.952413793103448203e+00,2.758549986004236176e-01,0.000000000000000000e+00
1.972528735632183894e+00,-1.098377469143188567e-01,0.000000000000000000e+00
1.992643678160919585e+00,6.682680485677402471e-01,0.000000000000000000e+00
2.012758620689655054e+00,-2.225256682297919175e-01,0.000000000000000000e+00
2.032873563218390522e+00,-4.844524324679474470e-01,0.000000000000000000e+00
2.052988505747126435e+00,-4.479481632948206782e-02,0.000000000000000000e+00
2.073103448275861904e+00,-5.048986910694441832e-03,0.000000000000000000e+00
2.093218390804597817e+00,1.075275157827954020e-02,0.000000000000000000e+00
2.113333333333333286e+00,1.355266313486537477e+00,0.000000000000000000e+00
2.133448275862068755e+00,3.016030591688321216e-01,0.000000000000000000e+00
2.153563218390804668e+00,-5.307070208401107880e-01,0.000000000000000000e+00
2.173678160919540137e+00,1.113166787194579399e-01,0.000000000000000000e+00
2.193793103448275605e+00,-7.157174915928889991e-01,0.000000000000000000e+00
2.213908045977011518e+00,2.105879562767847268e-01,0.000000000000000000e+00
2.234022988505746987e+00,-2.578113773429134836e-01,0.000000000000000000e+00
2.254137931034482456e+00,1.355716398417090796e+00,0.000000000000000000e+00
2.274252873563218369e+00,1.768970563470677160e+00,0.000000000000000000e+00
2.294367816091953838e+00,-6.657040337522910356e-01,0.000000000000000000e+00
2.314482758620689751e+00,-2.416797256112102055e-01,0.000000000000000000e+00
2.334597701149425220e+00,-7.758812489414823599e-01,0.000000000000000000e+00
2.354712643678160688e+00,8.129896347530931600e-01,0.000000000000000000e+00
2.374827586206896157e+00,2.977984235666091273e-01,0.000000000000000000e+00
2.394942528735632070e+00,-1.224452472210131759e+00,0.000000000000000000e+00
2.415057471264367539e+00,5.400947578071071398e-01,0.000000000000000000e+00
2.435172413793103452e+00,3.267483677938201048e-01,0.000000000000000000e+00
2.455287356321838921e+00,8.269401205401778476e-01,0.000000000000000000e+00
2.475402298850574390e+00,4.585957357015737479e-01,0.000000000000000000e+00
2.495517241379310303e+00,-9.233791805714561818e-01,0.000000000000000000e+00
2.515632183908045771e+00,1.010557834188443138e+00,0.000000000000000000e+00
2.535747126436781684e+00,-6.781373114707078820e-01,0.000000000000000000e+00
2.555862068965517153e+00,3.206464486091080701e-01,0.000000000000000000e+00
2.575977011494252622e+00,6.375439203785520093e-01,0.000000000000000000e+00
2.596091954022988091e+00,-2.163405958766544401e-01,0.000000000000000000e+00
2.616206896551724004e+00,-1.225032055102586170e-01,0.000000000000000000e+00
2.636321839080459917e+00,-3.512292971009625120e-01,0.000000000000000000e+00
2.656436781609195386e+00,-3.129468853010521912e-01,0.000000000000000000e+00
2.676551724137930854e+00,3.233969379101622188e-01,0.000000000000000000e+00
2.696666666666666323e+00,1.705804027940600598e-01,0.000000000000000000e+00
