Temperature,Value,Error
1.530000000000000027e+00,2.633516081044727161e-02,4.773155137119765475e-03
1.550114942528735718e+00,2.990330888660231931e-02,4.328986800602492233e-03
1.570229885057471186e+00,3.176557372045520078e-02,6.905651841312494994e-03
1.590344827586206877e+00,3.513964654914723124e-02,5.072331111303571630e-03
1.610459770114942568e+00,3.169086354707154052e-02,3.886677464144973164e-03
1.630574712643678259e+00,3.582260159186863996e-02,3.883742677041442364e-03
1.650689655172413728e+00,4.484744864001653786e-02,8.897579199716268775e-03
1.670804597701149419e+00,6.392074082943384472e-02,1.250364536995112949e-02
1.690919540229885110e+00,5.879694062544617295e-02,8.541368470286929762e-03
1.711034482758620801e+00,7.405969383074488543e-02,1.466464691522458529e-02
1.731149425287356269e+00,5.939084219751602362e-02,1.285943110930696728e-02
1.751264367816091960e+00,4.980439385729047708e-02,4.808616763888350076e-03
1.771379310344827651e+00,6.684654527836482452e-02,6.390876569224323255e-03
1.791494252873563120e+00,1.040251253749895355e-01,2.869825829773768253e-02
1.811609195402298811e+00,7.860224742251767371e-02,1.220951903409530151e-02
1.831724137931034502e+00,1.197650657959101472e-01,2.918230106413427505e-02
1.851839080459769971e+00,9.398550976762536091e-02,7.716913399211569775e-03
1.871954022988505661e+00,2.361718245063263721e-01,5.812428326344273866e-02
1.892068965517241352e+00,2.071787418158753391e-01,6.215424417699366710e-02
1.912183908045977043e+00,1.621665525466517987e-01,3.941578937764740609e-02
1.932298850574712734e+00,1.625859395867085833e-01,3.056646725001644499e-02
1.952413793103448203e+00,5.761587439673155897e-01,4.077990585339179019e-01
1.972528735632183894e+00,2.046157214055337459e-01,3.640843004664695570e-02
1.992643678160919585e+00,1.392789305538034927e+00,1.153077583229824121e+00
2.012758620689655054e+00,4.649140111270965159e-01,1.693191391250354894e-01
2.032873563218390522e+00,2.021730096306444402e-01,3.641772590321987885e-02
2.052988505747126435e+00,2.663512858846474041e-01,5.191080448054544161e-02
2.073103448275861904e+00,2.266886673916042871e-01,3.632059393636723893e-02
2.093218390804597817e+00,2.626491040055451975e-01,6.693002987052311392e-02
2.113333333333333286e+00,2.277568355928381028e+00,1.989133903374169066e+00
2.133448275862068755e+00,1.722513318720211517e+00,1.449620138451501283e+00
2.153563218390804668e+00,1.203980306064130090e+00,8.186252899616842660e-01
2.173678160919540137e+00,1.630221830471357380e+00,1.368971967490564046e+00
2.193793103448275605e+00,3.435248308784102922e-01,6.038607329354868380e-02
2.213908045977011518e+00,1.302755265090060899e+00,5.455649800890578494e-01
2.234022988505746987e+00,4.364229819698653978e-01,6.827302198032633718e-02
2.254137931034482456e+00,2.903163721155599397e+00,1.379370389391295193e+00
2.274252873563218369e+00,4.323249196768748526e+00,2.037950840320086776e+00
2.294367816091953838e+00,2.614650408333736742e+00,1.062331042030683959e+00
2.314482758620689751e+00,3.106430214134427992e+00,1.078433719713363548e+00
2.334597701149425220e+00,1.696718437821858716e+00,7.008583739132895341e-01
2.354712643678160688e+00,3.621058778107782761e+00,1.651275084303197360e+00
2.374827586206896157e+00,3.105586243314735206e+00,1.305881327440172379e+00
2.394942528735632070e+00,1.526643802396061123e+00,3.981839575071545179e-01
2.415057471264367539e+00,3.126257159566058874e+00,1.253045713976604691e+00
2.435172413793103452e+00,2.816573032671789711e+00,1.292971169332469028e+00
2.455287356321838921e+00,4.211825276929190842e+00,1.446735474018585599e+00
2.475402298850574390e+00,4.202092758352851121e+00,1.336253679703704789e+00
2.495517241379310303e+00,2.821890246783836709e+00,1.117947324228330874e+00
2.515632183908045771e+00,5.027828253851008178e+00,1.052043675263899969e+00
2.535747126436781684e+00,2.907653283111360398e+00,7.881265470635108183e-01
2.555862068965517153e+00,4.448710441394846171e+00,1.015744951649322658e+00
2.575977011494252622e+00,4.634497742820930632e+00,1.108659156136417412e+00
2.596091954022988091e+00,4.217093198292907630e+00,1.124175502155882134e+00
2.616206896551724004e+00,4.242040662291531206e+00,9.520655005866671683e-01
2.636321839080459917e+00,3.702722984640776538e+00,6.840350757861168862e-01
2.656436781609195386e+00,3.502961495514576029e+00,3.972469631190711503e-01
2.676551724137930854e+00,4.087937646942918946e+00,6.223249295731947406e-01
