time_ms,temperature,heater
4,48.453125,1.0
104,48.3828125,1.0
205,48.390625,1.0
305,48.34375,1.0
405,48.34375,1.0
506,48.3203125,1.0
606,48.234375,1.0
706,48.234375,1.0
807,48.1875,1.0
907,48.25,1.0
1008,48.203125,1.0
1109,48.1875,1.0
1209,48.125,1.0
1310,48.1171875,1.0
1410,48.1171875,1.0
1510,48.15625,1.0
1611,48.1015625,1.0
1711,48.1015625,1.0
1811,48.046875,1.0
1912,48.15625,1.0
2012,48.03125,1.0
2112,48.0703125,1.0
2213,48.125,1.0
2314,47.9765625,1.0
2415,47.9609375,1.0
2515,48.0,1.0
2615,47.984375,1.0
2715,47.9765625,1.0
2815,47.9609375,1.0
2915,48.0078125,1.0
3016,48.0546875,1.0
3116,47.9765625,1.0
3216,47.8984375,1.0
3317,48.0078125,1.0
3417,47.953125,1.0
3518,47.9140625,1.0
3620,47.9375,1.0
3720,47.875,1.0
3820,47.9296875,1.0
3921,47.9609375,1.0
4021,47.9140625,1.0
4121,47.984375,1.0
4221,47.984375,1.0
4321,47.984375,1.0
4421,47.9140625,1.0
4521,47.8671875,1.0
4621,47.953125,1.0
4721,47.9140625,1.0
4822,47.9375,1.0
4922,47.9296875,1.0
5023,47.984375,1.0
5123,47.9765625,1.0
5223,47.984375,1.0
5324,48.0078125,1.0
5424,48.0,1.0
5524,48.03125,1.0
5625,48.140625,1.0
5725,48.0078125,1.0
5825,48.1015625,1.0
5926,48.078125,1.0
6026,48.15625,1.0
6127,48.09375,1.0
6227,48.1171875,1.0
6327,48.15625,1.0
6427,48.2109375,1.0
6527,48.2578125,1.0
6627,48.2109375,1.0
6728,48.2734375,1.0
6828,48.2578125,1.0
6928,48.296875,1.0
7029,48.3046875,1.0
7129,48.3203125,1.0
7229,48.3203125,1.0
7331,48.4140625,1.0
7432,48.3671875,1.0
7532,48.453125,1.0
7633,48.5078125,1.0
7733,48.5625,1.0
7833,48.5703125,1.0
7933,48.59375,1.0
8033,48.6796875,1.0
8133,48.5859375,1.0
8233,48.6640625,1.0
8333,48.6796875,1.0
8433,48.765625,1.0
8534,48.7421875,1.0
8635,48.8125,1.0
8736,48.8359375,1.0
8836,48.8984375,1.0
8936,48.9375,1.0
9037,48.8359375,1.0
9137,48.9609375,1.0
9237,49.0078125,1.0
9338,49.0546875,1.0
9438,49.1015625,1.0
9538,49.109375,1.0
9639,49.1875,1.0
9739,49.1640625,1.0
9839,49.1640625,1.0
9940,49.2890625,1.0
10040,49.3515625,1.0
10141,49.34375,1.0
10241,49.328125,1.0
10341,49.421875,1.0
10442,49.390625,1.0
10542,49.3984375,1.0
10642,49.5078125,1.0
10743,49.46875,1.0
10843,49.5078125,1.0
10943,49.5390625,1.0
11044,49.578125,1.0
11145,49.625,1.0
11246,49.640625,1.0
11346,49.7890625,1.0
11446,49.7578125,1.0
11546,49.796875,1.0
11646,49.8359375,1.0
11746,49.90625,1.0
11846,49.9453125,1.0
11946,49.96875,1.0
12046,50.015625,1.0
12147,50.0234375,1.0
12247,50.15625,1.0
12348,50.0859375,1.0
12450,50.15625,1.0
12550,50.15625,1.0
12650,50.21875,1.0
12751,50.265625,1.0
12851,50.34375,1.0
12951,50.359375,1.0
13052,50.453125,1.0
13152,50.40625,1.0
13252,50.4921875,1.0
13352,50.515625,1.0
13452,50.5859375,1.0
13552,50.546875,1.0
13653,50.6796875,1.0
13754,50.6953125,1.0
13855,50.7890625,1.0
13955,50.8046875,1.0
14055,50.828125,1.0
14156,50.8125,1.0
14256,50.8671875,1.0
14356,50.9609375,1.0
14457,50.9453125,1.0
14557,50.96875,1.0
14657,51.0078125,1.0
14758,51.1015625,1.0
14858,51.125,1.0
14959,51.1953125,1.0
15060,51.1953125,1.0
15160,51.2734375,1.0
15261,51.3203125,1.0
15361,51.328125,1.0
15461,51.4375,1.0
15562,51.375,1.0
15662,51.4609375,1.0
15762,51.4765625,1.0
15863,51.625,1.0
15963,51.65625,1.0
16063,51.640625,1.0
16164,51.625,1.0
16265,51.734375,1.0
16366,51.78125,1.0
16466,51.796875,1.0
16566,51.90625,1.0
16666,51.9375,1.0
16766,52.0,1.0
16866,52.0625,1.0
16966,52.0234375,1.0
17066,52.1484375,1.0
17166,52.1953125,1.0
17267,52.2421875,1.0
17367,52.296875,1.0
17468,52.2734375,1.0
17570,52.265625,1.0
17670,52.375,1.0
17770,52.4296875,1.0
17871,52.4921875,1.0
17971,52.5390625,1.0
18071,52.5390625,1.0
18172,52.625,1.0
18272,52.6796875,1.0
18372,52.65625,1.0
18472,52.71875,1.0
18572,52.7421875,1.0
18672,52.78125,1.0
18773,52.8828125,1.0
18874,52.984375,1.0
18975,53.0078125,1.0
19075,53.0859375,1.0
19175,52.984375,1.0
19276,53.1484375,1.0
19376,53.125,1.0
19476,53.2109375,1.0
19577,53.28125,1.0
19677,53.28125,1.0
19777,53.3203125,1.0
19878,53.3671875,1.0
19978,53.453125,1.0
20079,53.4375,1.0
20180,53.5,1.0
20280,53.578125,1.0
20381,53.625,1.0
20481,53.5546875,1.0
20581,53.6484375,1.0
20682,53.78125,1.0
20782,53.75,1.0
20882,53.8046875,1.0
20983,53.796875,1.0
21083,53.8671875,1.0
21183,53.8515625,1.0
21284,53.953125,1.0
21385,54.0234375,1.0
21485,54.0703125,1.0
21586,54.0703125,1.0
21686,54.1171875,1.0
21786,54.25,1.0
21886,54.2109375,1.0
21986,54.2734375,1.0
22086,54.34375,1.0
22186,54.3671875,1.0
22286,54.421875,1.0
22387,54.46875,1.0
22487,54.4453125,1.0
22588,54.5390625,1.0
22690,54.546875,1.0
22790,54.6796875,1.0
22890,54.7265625,1.0
22991,54.703125,1.0
23091,54.7734375,1.0
23191,54.84375,1.0
23292,54.875,1.0
23392,54.953125,1.0
23492,54.9296875,1.0
23592,54.921875,1.0
23692,54.953125,1.0
23792,55.046875,1.0
23893,55.125,1.0
23993,55.1328125,1.0
24094,55.1796875,1.0
24194,55.265625,1.0
24294,55.3359375,1.0
24395,55.3203125,1.0
24495,55.296875,1.0
24595,55.46875,1.0
24696,55.4921875,1.0
24796,55.5234375,1.0
24896,55.5625,1.0
24997,55.578125,1.0
25098,55.6328125,1.0
25199,55.65625,1.0
25299,55.765625,1.0
25399,55.8125,1.0
25499,55.8359375,1.0
25599,55.84375,1.0
25699,55.859375,1.0
25800,55.9375,1.0
25900,56.0625,1.0
26000,56.0390625,1.0
26101,56.09375,1.0
26201,56.2265625,1.0
26301,56.15625,1.0
26403,56.1796875,1.0
26503,56.2734375,1.0
26603,56.234375,1.0
26704,56.34375,1.0
26804,56.4140625,1.0
26904,56.4765625,1.0
27004,56.4296875,1.0
27104,56.484375,1.0
27204,56.640625,1.0
27304,56.6640625,1.0
27404,56.671875,1.0
27504,56.6640625,1.0
27605,56.6875,1.0
27705,56.8046875,1.0
27806,56.8359375,1.0
27906,56.8359375,1.0
28006,56.96875,1.0
28107,57.015625,1.0
28207,57.015625,1.0
28307,57.0390625,1.0
28408,57.1328125,1.0
28508,57.15625,1.0
28608,57.1953125,1.0
28709,57.265625,1.0
28809,57.34375,1.0
28910,57.3359375,1.0
29010,57.359375,1.0
29110,57.421875,1.0
29210,57.46875,1.0
29310,57.4921875,1.0
29410,57.5625,1.0
29510,57.5859375,1.0
29610,57.609375,1.0
29710,57.703125,1.0
29811,57.734375,1.0
29911,57.859375,1.0
30011,57.84375,1.0
30113,57.84375,1.0
30213,57.8828125,1.0
30313,57.8671875,1.0
30414,57.953125,1.0
30514,58.0546875,1.0
30614,58.03125,1.0
30715,58.0078125,1.0
30815,58.171875,1.0
30915,58.2109375,1.0
31015,58.140625,1.0
31115,58.1875,1.0
31215,58.3359375,1.0
31316,58.3515625,1.0
31416,58.3984375,1.0
31517,58.4375,1.0
31617,58.4609375,1.0
31717,58.5078125,1.0
31818,58.5390625,1.0
31918,58.578125,1.0
32018,58.6484375,1.0
32119,58.6328125,1.0
32219,58.7421875,1.0
32319,58.796875,1.0
32420,58.8359375,1.0
32520,58.8828125,1.0
32621,58.9296875,1.0
32722,59.046875,1.0
32822,59.0703125,1.0
32922,59.0703125,1.0
33022,59.0390625,1.0
33122,59.1328125,1.0
33222,59.1328125,1.0
33322,59.203125,1.0
33422,59.2109375,1.0
33523,59.3046875,1.0
33623,59.3046875,1.0
33723,59.3984375,1.0
33825,59.4609375,1.0
33925,59.46875,1.0
34025,59.515625,1.0
34126,59.5546875,1.0
34226,59.578125,1.0
34326,59.640625,1.0
34427,59.6171875,1.0
34527,59.671875,1.0
34627,59.6875,1.0
34727,59.828125,1.0
34827,59.859375,1.0
34927,59.96875,1.0
35028,60.015625,1.0
35129,59.9453125,1.0
35230,60.0625,1.0
35330,60.046875,1.0
35430,60.0390625,1.0
35531,60.0703125,1.0
35631,60.1796875,1.0
35731,60.1875,1.0
35832,60.234375,1.0
35932,60.3125,1.0
36032,60.296875,1.0
36133,60.390625,1.0
36233,60.4296875,1.0
36334,60.453125,1.0
36436,60.5234375,1.0
36536,60.5703125,1.0
36637,60.578125,1.0
36737,60.625,1.0
36837,60.6171875,1.0
36938,60.6484375,1.0
37038,60.6953125,1.0
37138,60.8828125,1.0
37239,60.8359375,1.0
37339,60.8984375,1.0
37439,60.9765625,1.0
37540,61.0234375,1.0
37641,60.9921875,1.0
37742,61.046875,1.0
37842,61.125,1.0
37942,61.1953125,1.0
38042,61.171875,1.0
38142,61.28125,1.0
38242,61.40625,1.0
38342,61.34375,1.0
38442,61.3046875,1.0
38542,61.3828125,1.0
38643,61.4140625,1.0
38743,61.5546875,1.0
38844,61.5,1.0
