time_ms,temperature,heater
2,54.96875,1.0
1104,54.65625,1.0
1205,54.6953125,1.0
1306,54.703125,1.0
1406,54.6484375,1.0
1506,54.6796875,1.0
1606,54.6796875,1.0
1706,54.5625,1.0
1807,54.6328125,1.0
1907,54.59375,1.0
2007,54.6328125,1.0
2108,54.546875,1.0
2208,54.546875,1.0
2309,54.5859375,1.0
2411,54.5703125,1.0
2511,54.546875,1.0
2611,54.5234375,1.0
2711,54.5390625,1.0
2811,54.4453125,1.0
2911,54.5,1.0
3011,54.4765625,1.0
3111,54.515625,1.0
3211,54.4453125,1.0
3311,54.4765625,1.0
3411,54.4453125,1.0
3511,54.3828125,1.0
3611,54.3984375,1.0
3711,54.4453125,1.0
3812,54.4453125,1.0
3912,54.421875,1.0
4013,54.3984375,1.0
4115,54.4453125,1.0
4216,54.4296875,1.0
4316,54.40625,1.0
4416,54.421875,1.0
4516,54.546875,1.0
4616,54.5,1.0
4716,54.421875,1.0
4816,54.453125,1.0
4916,54.5,1.0
5016,54.546875,1.0
5116,54.515625,1.0
5216,54.453125,1.0
5316,54.546875,1.0
5416,54.5234375,1.0
5516,54.5390625,1.0
5616,54.5,1.0
5716,54.5703125,1.0
5817,54.5703125,1.0
5918,54.609375,1.0
6019,54.6171875,1.0
6121,54.7421875,1.0
6222,54.671875,1.0
6323,54.6171875,1.0
6423,54.71875,1.0
6523,54.8203125,1.0
6623,54.8125,1.0
6723,54.7890625,1.0
6823,54.796875,1.0
6923,54.84375,1.0
7023,54.921875,1.0
7123,54.953125,1.0
7223,54.921875,1.0
7323,55.0234375,1.0
7423,55.0703125,1.0
7524,55.1328125,1.0
7624,55.015625,1.0
7724,55.0,1.0
7825,55.0859375,1.0
7925,55.1484375,1.0
8025,55.1796875,1.0
8126,55.2734375,1.0
8226,55.2890625,1.0
8326,55.2734375,1.0
8426,55.203125,1.0
8526,55.2890625,1.0
8626,55.3828125,1.0
8726,55.359375,1.0
8826,55.515625,1.0
8926,55.4921875,1.0
9026,55.4453125,1.0
9127,55.5234375,1.0
9228,55.5234375,1.0
9328,55.5859375,1.0
9428,55.671875,1.0
9529,55.6328125,1.0
9629,55.7265625,1.0
9729,55.65625,1.0
9830,55.7421875,1.0
9930,55.8359375,1.0
10030,55.8203125,1.0
10131,55.8828125,1.0
10231,55.9921875,1.0
10331,55.9296875,1.0
10431,55.9140625,1.0
10531,56.0703125,1.0
10631,55.9921875,1.0
10731,56.0859375,1.0
10831,56.1640625,1.0
10931,56.0625,1.0
11031,56.15625,1.0
11131,56.234375,1.0
11231,56.3046875,1.0
11331,56.328125,1.0
11431,56.390625,1.0
11531,56.4140625,1.0
11631,56.5,1.0
11731,56.4609375,1.0
11831,56.4765625,1.0
11931,56.4375,1.0
12031,56.578125,1.0
12132,56.6640625,1.0
12232,56.71875,1.0
12332,56.734375,1.0
12433,56.765625,1.0
12533,56.78125,1.0
12633,56.9140625,1.0
12734,56.921875,1.0
12834,56.921875,1.0
12935,56.875,1.0
13036,56.875,1.0
13136,57.03125,1.0
13236,57.15625,1.0
13336,57.1953125,1.0
13436,57.1484375,1.0
13536,57.1328125,1.0
13636,57.2421875,1.0
13736,57.296875,1.0
13836,57.3203125,1.0
13936,57.3125,1.0
14036,57.359375,1.0
14137,57.453125,1.0
14237,57.5390625,1.0
14337,57.5859375,1.0
14438,57.5859375,1.0
14538,57.703125,1.0
14638,57.734375,1.0
14739,57.7578125,1.0
14839,57.7578125,1.0
14939,57.796875,1.0
15039,57.8203125,1.0
15139,57.8671875,1.0
15239,57.9609375,1.0
15339,57.953125,1.0
15439,57.953125,1.0
15540,57.9765625,1.0
15641,58.1640625,1.0
15742,58.1640625,1.0
15842,58.21875,1.0
15942,58.1640625,1.0
16042,58.265625,1.0
16143,58.3359375,1.0
16243,58.28125,1.0
16343,58.359375,1.0
16444,58.3984375,1.0
16544,58.484375,1.0
16644,58.53125,1.0
16745,58.6015625,1.0
16845,58.578125,1.0
16945,58.5546875,1.0
17045,58.7421875,1.0
17145,58.703125,1.0
17245,58.765625,1.0
17345,58.8203125,1.0
17445,58.796875,1.0
17545,58.8671875,1.0
17645,58.9296875,1.0
17745,58.9765625,1.0
17845,59.0,1.0
17945,59.0390625,1.0
18045,59.140625,1.0
18145,59.0859375,1.0
18245,59.0859375,1.0
18345,59.25,1.0
18445,59.2578125,1.0
18545,59.3671875,1.0
18645,59.390625,1.0
18746,59.4375,1.0
18846,59.4375,1.0
18946,59.4375,1.0
19048,59.484375,1.0
19149,59.5625,1.0
19250,59.5625,1.0
19350,59.6015625,1.0
19450,59.671875,1.0
19550,59.7421875,1.0
19650,59.8046875,1.0
19750,59.8515625,1.0
19850,59.828125,1.0
19950,59.875,1.0
20050,60.0234375,1.0
20150,60.046875,1.0
20250,60.0390625,1.0
20350,60.046875,1.0
20450,60.1171875,1.0
20550,60.1171875,1.0
20650,60.2734375,1.0
20751,60.234375,1.0
20851,60.296875,1.0
20951,60.359375,1.0
21052,60.34375,1.0
21152,60.4296875,1.0
21252,60.5546875,1.0
21353,60.5078125,1.0
21453,60.5546875,1.0
21553,60.578125,1.0
21653,60.6015625,1.0
21753,60.6484375,1.0
21853,60.6875,1.0
21953,60.6875,1.0
22053,60.8125,1.0
22153,60.8515625,1.0
22253,60.9453125,1.0
22353,60.953125,1.0
22453,61.078125,1.0
22553,61.0625,1.0
22653,61.046875,1.0
22753,61.1484375,1.0
22853,61.1484375,1.0
22953,61.203125,1.0
23053,61.171875,1.0
23153,61.3671875,1.0
23253,61.3046875,1.0
23354,61.3828125,1.0
23454,61.390625,1.0
23555,61.453125,1.0
23657,61.484375,1.0
23758,61.5546875,1.0
23859,61.4765625,1.0
23960,61.6171875,1.0
24060,61.6953125,1.0
24160,61.6171875,1.0
24260,61.6484375,1.0
24360,61.7890625,1.0
24460,61.875,1.0
24560,61.875,1.0
24660,61.921875,1.0
24761,61.953125,1.0
24861,61.9921875,1.0
24961,61.96875,1.0
25062,62.1171875,1.0
25162,62.046875,1.0
25262,62.1640625,1.0
25364,62.2265625,1.0
25465,62.2109375,1.0
25566,62.296875,1.0
25667,62.359375,1.0
25767,62.3359375,1.0
25867,62.3828125,1.0
25967,62.4296875,1.0
26067,62.546875,1.0
26167,62.578125,1.0
26267,62.5546875,1.0
26367,62.6015625,1.0
26468,62.671875,1.0
26568,62.6875,1.0
26668,62.8046875,1.0
26769,62.78125,1.0
26869,62.859375,1.0
26970,62.859375,1.0
27071,62.9453125,1.0
27172,62.9296875,1.0
27273,62.90625,1.0
27374,63.0,1.0
27475,62.9765625,1.0
27577,63.09375,1.0
27678,63.1640625,1.0
27778,63.1796875,1.0
27879,63.25,1.0
27979,63.265625,1.0
28079,63.3359375,1.0
28180,63.3359375,1.0
28280,63.390625,1.0
28380,63.3828125,1.0
28480,63.484375,1.0
28580,63.5859375,1.0
28680,63.609375,1.0
28780,63.671875,1.0
28880,63.609375,1.0
28980,63.6640625,1.0
29081,63.7109375,1.0
29182,63.7421875,1.0
29284,63.765625,1.0
29384,63.90625,1.0
29484,63.875,1.0
29585,63.9453125,1.0
29685,64.0,1.0
29785,64.0703125,1.0
29886,64.0859375,1.0
29986,64.109375,1.0
30086,64.140625,1.0
30186,64.234375,1.0
30286,64.296875,1.0
30387,64.28125,1.0
30488,64.28125,1.0
30588,64.4375,1.0
30689,64.375,1.0
30790,64.4375,1.0
30891,64.4609375,1.0
30993,64.53125,1.0
31093,64.625,1.0
31193,64.6484375,1.0
31294,64.6484375,1.0
31394,64.6484375,1.0
31494,64.7734375,1.0
31594,64.765625,1.0
31694,64.8359375,1.0
31794,64.859375,1.0
31894,64.9296875,1.0
31994,64.9921875,1.0
32094,65.015625,1.0
32194,65.0703125,1.0
32294,65.046875,1.0
32394,65.078125,1.0
32495,65.1484375,1.0
32596,65.2109375,1.0
32698,65.1875,1.0
32799,65.3359375,1.0
32900,65.328125,1.0
33002,65.4140625,1.0
33102,65.4453125,1.0
33202,65.4453125,1.0
33302,65.4921875,1.0
33402,65.5390625,1.0
33502,65.625,1.0
33602,65.65625,1.0
33702,65.703125,1.0
33802,65.765625,1.0
33902,65.6953125,1.0
34002,65.8359375,1.0
34102,65.8828125,1.0
34203,65.8828125,1.0
34303,65.9453125,1.0
34405,65.984375,1.0
34506,65.96875,1.0
34607,65.9921875,1.0
34709,66.078125,1.0
34810,66.1015625,1.0
34910,66.125,1.0
35010,66.171875,1.0
35110,66.234375,1.0
35210,66.171875,1.0
35310,66.3125,1.0
35410,66.375,1.0
35510,66.4921875,1.0
35610,66.46875,1.0
35710,66.5234375,1.0
35810,66.546875,1.0
35911,66.6328125,1.0
36012,66.6171875,1.0
36114,66.7265625,1.0
36215,66.7265625,1.0
36316,66.703125,1.0
36417,66.7109375,1.0
36518,66.8984375,1.0
36619,66.84375,1.0
36720,66.8671875,1.0
36820,66.9375,1.0
36921,67.0546875,1.0
37021,67.03125,1.0
37121,66.984375,1.0
37222,67.0390625,1.0
37322,67.0859375,1.0
37422,67.2421875,1.0
