time_ms,temperature,heater
0,54.90625,1.0
100,54.8359375,1.0
200,54.921875,1.0
300,54.921875,1.0
400,54.921875,1.0
500,54.90625,1.0
600,54.84375,1.0
701,54.8359375,1.0
801,54.84375,1.0
901,54.75,1.0
1002,54.7734375,1.0
1102,54.6953125,1.0
1202,54.7265625,1.0
1303,54.6953125,1.0
1403,54.71875,1.0
1503,54.6171875,1.0
1604,54.5703125,1.0
1704,54.59375,1.0
1804,54.65625,1.0
1904,54.59375,1.0
2004,54.5859375,1.0
2104,54.5390625,1.0
2204,54.546875,1.0
2304,54.5,1.0
2404,54.546875,1.0
2504,54.5703125,1.0
2604,54.5234375,1.0
2704,54.4765625,1.0
2804,54.4453125,1.0
2904,54.421875,1.0
3005,54.4765625,1.0
3105,54.40625,1.0
3205,54.3828125,1.0
3306,54.3984375,1.0
3406,54.46875,1.0
3506,54.421875,1.0
3607,54.3828125,1.0
3707,54.3671875,1.0
3807,54.359375,1.0
3908,54.421875,1.0
4008,54.453125,1.0
4108,54.4453125,1.0
4208,54.3828125,1.0
4308,54.421875,1.0
4408,54.359375,1.0
4508,54.421875,1.0
4608,54.453125,1.0
4708,54.453125,1.0
4808,54.421875,1.0
4908,54.453125,1.0
5008,54.4453125,1.0
5108,54.4296875,1.0
5208,54.453125,1.0
5309,54.4453125,1.0
5409,54.453125,1.0
5509,54.453125,1.0
5610,54.5234375,1.0
5710,54.5390625,1.0
5810,54.515625,1.0
5911,54.4921875,1.0
6011,54.546875,1.0
6111,54.546875,1.0
6212,54.546875,1.0
6312,54.5625,1.0
6412,54.671875,1.0
6512,54.71875,1.0
6612,54.6328125,1.0
6712,54.6796875,1.0
6812,54.703125,1.0
6912,54.703125,1.0
7012,54.7734375,1.0
7112,54.7734375,1.0
7212,54.765625,1.0
7312,54.8125,1.0
7412,54.90625,1.0
7512,54.90625,1.0
7613,54.8828125,1.0
7713,54.8359375,1.0
7813,54.90625,1.0
7914,54.9453125,1.0
8014,54.9765625,1.0
8114,55.0859375,1.0
8215,55.0390625,1.0
