time_ms,temperature,heater
1,54.953125,1.0
1,54.96875,1.0
102,54.921875,1.0
202,54.8984375,1.0
302,54.875,1.0
402,54.90625,1.0
503,54.90625,1.0
603,54.8203125,1.0
703,54.8125,1.0
803,54.8125,1.0
904,54.8203125,1.0
1004,54.7734375,1.0
1104,54.7421875,1.0
1205,54.7265625,1.0
1306,54.6328125,1.0
1406,54.75,1.0
1507,54.6171875,1.0
1607,54.6328125,1.0
1708,54.6484375,1.0
1809,54.5859375,1.0
1909,54.546875,1.0
2010,54.5859375,1.0
2110,54.5703125,1.0
2210,54.546875,1.0
2311,54.5,1.0
2411,54.4921875,1.0
2511,54.4921875,1.0
2613,54.515625,1.0
2713,54.59375,1.0
2813,54.453125,1.0
2915,54.421875,1.0
3015,54.515625,1.0
3115,54.5,1.0
3217,54.5234375,1.0
3317,54.4453125,1.0
3417,54.4296875,1.0
3518,54.3984375,1.0
3618,54.5,1.0
3718,54.46875,1.0
3819,54.5703125,1.0
3919,54.453125,1.0
4019,54.4453125,1.0
4120,54.453125,1.0
4220,54.421875,1.0
4321,54.5,1.0
4422,54.5390625,1.0
4522,54.453125,1.0
4623,54.453125,1.0
4724,54.3828125,1.0
4824,54.515625,1.0
4925,54.5703125,1.0
5026,54.5,1.0
5126,54.4453125,1.0
5226,54.5859375,1.0
5327,54.546875,1.0
5427,54.609375,1.0
5527,54.6171875,1.0
5628,54.6328125,1.0
5729,54.59375,1.0
5829,54.6484375,1.0
5930,54.6484375,1.0
6031,54.6484375,1.0
6131,54.6953125,1.0
6232,54.703125,1.0
6333,54.75,1.0
6433,54.765625,1.0
6534,54.7890625,1.0
6634,54.8203125,1.0
6734,54.8125,1.0
6835,54.8828125,1.0
6935,54.875,1.0
7035,54.9296875,1.0
7137,54.921875,1.0
7237,54.96875,1.0
7337,55.0703125,1.0
7439,55.0859375,1.0
7539,55.1015625,1.0
7639,55.109375,1.0
7741,55.0703125,1.0
7841,55.125,1.0
7941,55.2734375,1.0
8042,55.2421875,1.0
8142,55.3515625,1.0
8242,55.2421875,1.0
8343,55.2734375,1.0
8443,55.2890625,1.0
8544,55.375,1.0
8645,55.4453125,1.0
