time_ms,temperature,heater
5,54.9296875,1.0
5,54.90625,1.0
105,54.90625,1.0
207,54.84375,1.0
307,54.8125,1.0
407,54.7734375,1.0
508,54.875,1.0
608,54.8203125,1.0
708,54.7734375,1.0
809,54.71875,1.0
909,54.71875,1.0
1010,54.6796875,1.0
1110,54.6796875,1.0
1210,54.671875,1.0
1310,54.6484375,1.0
1410,54.5859375,1.0
1510,54.5234375,1.0
1611,54.5234375,1.0
1711,54.609375,1.0
1812,54.59375,1.0
1913,54.515625,1.0
2013,54.5234375,1.0
2113,54.4921875,1.0
2214,54.5234375,1.0
2314,54.4453125,1.0
2414,54.421875,1.0
2515,54.4453125,1.0
2615,54.421875,1.0
2716,54.3984375,1.0
2816,54.453125,1.0
2916,54.3828125,1.0
3016,54.34375,1.0
3116,54.34375,1.0
3216,54.34375,1.0
3317,54.3828125,1.0
3417,54.34375,1.0
3518,54.34375,1.0
3619,54.40625,1.0
3719,54.3828125,1.0
3819,54.3984375,1.0
3920,54.3671875,1.0
4020,54.421875,1.0
4120,54.3359375,1.0
4221,54.34375,1.0
4322,54.3671875,1.0
4422,54.3828125,1.0
4522,54.3828125,1.0
4622,54.3984375,1.0
4722,54.46875,1.0
4822,54.4921875,1.0
4922,54.453125,1.0
5022,54.46875,1.0
5123,54.515625,1.0
5223,54.515625,1.0
5324,54.4453125,1.0
5424,54.4921875,1.0
5524,54.5703125,1.0
5625,54.5234375,1.0
5725,54.5,1.0
5825,54.6796875,1.0
5927,54.6484375,1.0
6027,54.5859375,1.0
6127,54.6171875,1.0
6228,54.6484375,1.0
6328,54.71875,1.0
6428,54.671875,1.0
6528,54.703125,1.0
6628,54.765625,1.0
6728,54.7734375,1.0
6829,54.859375,1.0
6929,54.859375,1.0
7030,54.84375,1.0
7130,54.84375,1.0
7230,54.921875,1.0
7331,54.953125,1.0
7431,54.9765625,1.0
7531,55.0234375,1.0
7633,55.046875,1.0
7733,55.046875,1.0
7833,55.0234375,1.0
7934,55.0859375,1.0
8034,55.1796875,1.0
8134,55.1328125,1.0
8234,55.1796875,1.0
8334,55.2890625,1.0
8435,55.3125,1.0
8535,55.375,1.0
8635,55.2890625,1.0
8736,55.375,1.0
8836,55.421875,1.0
8936,55.453125,1.0
9037,55.515625,1.0
9137,55.5390625,1.0
9238,55.578125,1.0
9339,55.5390625,1.0
9439,55.6484375,1.0
9539,55.6953125,1.0
9640,55.7265625,1.0
9740,55.7421875,1.0
9840,55.7265625,1.0
9940,55.7734375,1.0
10040,55.8359375,1.0
10141,55.84375,1.0
10241,55.9375,1.0
10341,56.0,1.0
10441,55.9921875,1.0
10541,56.0,1.0
10641,56.0703125,1.0
10742,56.1171875,1.0
10843,56.234375,1.0
10944,56.1875,1.0
11045,56.25,1.0
11145,56.3671875,1.0
11245,56.3515625,1.0
11346,56.4375,1.0
11446,56.390625,1.0
11546,56.453125,1.0
11647,56.5078125,1.0
11748,56.5,1.0
11848,56.5078125,1.0
11948,56.578125,1.0
12048,56.6171875,1.0
12149,56.71875,1.0
12249,56.7890625,1.0
12349,56.765625,1.0
12450,56.734375,1.0
12550,56.875,1.0
12651,56.96875,1.0
12752,56.984375,1.0
12852,57.03125,1.0
12952,57.015625,1.0
13053,57.0625,1.0
13153,57.171875,1.0
13253,57.1015625,1.0
13354,57.1953125,1.0
13455,57.1953125,1.0
13555,57.3125,1.0
13655,57.3203125,1.0
13755,57.359375,1.0
13856,57.375,1.0
13956,57.421875,1.0
14056,57.5625,1.0
14157,57.546875,1.0
14258,57.6171875,1.0
14358,57.59375,1.0
14459,57.640625,1.0
14559,57.6875,1.0
14659,57.7578125,1.0
14760,57.8046875,1.0
14860,57.8203125,1.0
14960,57.8046875,1.0
15061,57.9140625,1.0
15162,57.9296875,1.0
15262,57.9765625,1.0
15362,58.046875,1.0
15462,57.984375,1.0
15563,58.09375,1.0
15663,58.1875,1.0
15763,58.2109375,1.0
15864,58.21875,1.0
15965,58.2890625,1.0
16065,58.3359375,1.0
16166,58.3046875,1.0
16266,58.421875,1.0
16366,58.5078125,1.0
16467,58.5078125,1.0
16567,58.5546875,1.0
16667,58.578125,1.0
16768,58.5859375,1.0
16868,58.609375,1.0
16968,58.6953125,1.0
17068,58.7265625,1.0
17168,58.7890625,1.0
17269,58.859375,1.0
17369,58.84375,1.0
17469,58.9375,1.0
17571,58.9765625,1.0
17671,59.0625,1.0
17771,59.0859375,1.0
17872,59.1640625,1.0
