time_ms,temperature,heater
4,55.0390625,1.0
104,54.9453125,1.0
205,54.8828125,1.0
305,54.84375,1.0
405,54.8203125,1.0
506,54.8359375,1.0
606,54.796875,1.0
706,54.7890625,1.0
806,54.671875,1.0
906,54.65625,1.0
1007,54.7265625,1.0
1107,54.65625,1.0
1207,54.65625,1.0
1309,54.6328125,1.0
1409,54.5859375,1.0
1509,54.59375,1.0
1610,54.5625,1.0
1710,54.5390625,1.0
1810,54.5390625,1.0
1911,54.5234375,1.0
2011,54.46875,1.0
2112,54.515625,1.0
2212,54.46875,1.0
2312,54.4921875,1.0
2412,54.4921875,1.0
2512,54.3984375,1.0
2612,54.3984375,1.0
2713,54.46875,1.0
2813,54.40625,1.0
2914,54.34375,1.0
3015,54.3984375,1.0
3115,54.3671875,1.0
3215,54.3671875,1.0
3316,54.3359375,1.0
3416,54.34375,1.0
3516,54.34375,1.0
3617,54.3671875,1.0
3717,54.3671875,1.0
3818,54.34375,1.0
3918,54.4296875,1.0
4018,54.421875,1.0
4118,54.3828125,1.0
4218,54.421875,1.0
4318,54.4296875,1.0
4418,54.421875,1.0
4518,54.40625,1.0
4619,54.421875,1.0
4720,54.3984375,1.0
4820,54.40625,1.0
4920,54.4765625,1.0
5021,54.453125,1.0
5121,54.453125,1.0
5221,54.4921875,1.0
5322,54.5390625,1.0
5423,54.5,1.0
5523,54.46875,1.0
5624,54.5,1.0
5724,54.5703125,1.0
5824,54.5859375,1.0
5924,54.59375,1.0
6024,54.6328125,1.0
6124,54.5703125,1.0
6225,54.671875,1.0
6325,54.671875,1.0
6426,54.703125,1.0
6526,54.703125,1.0
6626,54.671875,1.0
6727,54.7890625,1.0
6827,54.8125,1.0
6927,54.7890625,1.0
7028,54.8359375,1.0
7129,54.921875,1.0
7229,54.9453125,1.0
7330,54.9296875,1.0
7430,54.921875,1.0
7530,54.96875,1.0
7630,54.9921875,1.0
7730,55.015625,1.0
7830,55.125,1.0
7931,55.109375,1.0
8031,55.1953125,1.0
8132,55.1484375,1.0
8232,55.1796875,1.0
8332,55.2265625,1.0
8433,55.2421875,1.0
8533,55.2890625,1.0
8633,55.3203125,1.0
8735,55.3828125,1.0
8836,55.4296875,1.0
8936,55.4765625,1.0
9037,55.453125,1.0
9137,55.4921875,1.0
9237,55.4765625,1.0
9337,55.5625,1.0
9437,55.6484375,1.0
9537,55.671875,1.0
9638,55.65625,1.0
9738,55.703125,1.0
9839,55.7734375,1.0
9939,55.8125,1.0
10039,55.7890625,1.0
10140,55.859375,1.0
10240,55.859375,1.0
10340,55.890625,1.0
10442,56.0234375,1.0
10542,56.0234375,1.0
10642,56.0859375,1.0
10743,56.109375,1.0
10843,56.09375,1.0
10943,56.0859375,1.0
11043,56.15625,1.0
11143,56.234375,1.0
11243,56.25,1.0
11344,56.2265625,1.0
11444,56.3203125,1.0
11545,56.3515625,1.0
11645,56.4375,1.0
11745,56.5,1.0
11846,56.5,1.0
11946,56.546875,1.0
12046,56.5234375,1.0
12148,56.6484375,1.0
12248,56.6875,1.0
12348,56.7109375,1.0
12449,56.78125,1.0
12549,56.7578125,1.0
12649,56.765625,1.0
12749,56.859375,1.0
12849,56.921875,1.0
12950,56.9921875,1.0
13050,56.9609375,1.0
13150,57.078125,1.0
13250,57.109375,1.0
13350,57.1015625,1.0
13450,57.15625,1.0
13551,57.25,1.0
13651,57.2265625,1.0
13752,57.25,1.0
13853,57.2734375,1.0
13953,57.2890625,1.0
14053,57.421875,1.0
14154,57.46875,1.0
14254,57.453125,1.0
14354,57.46875,1.0
14455,57.5703125,1.0
14555,57.640625,1.0
14656,57.734375,1.0
14756,57.7265625,1.0
14856,57.7734375,1.0
14956,57.796875,1.0
15056,57.78125,1.0
15156,57.9609375,1.0
15257,57.9296875,1.0
15357,57.9296875,1.0
15458,57.984375,1.0
15559,58.046875,1.0
15659,58.078125,1.0
15759,58.21875,1.0
15860,58.21875,1.0
15960,58.2421875,1.0
16060,58.265625,1.0
16161,58.2890625,1.0
16262,58.3515625,1.0
16363,58.3515625,1.0
16463,58.421875,1.0
16563,58.4140625,1.0
16663,58.5078125,1.0
16763,58.4609375,1.0
16863,58.515625,1.0
16964,58.625,1.0
17064,58.6015625,1.0
17165,58.703125,1.0
17266,58.765625,1.0
17366,58.7734375,1.0
17466,58.8125,1.0
17567,58.96875,1.0
17667,59.046875,1.0
17767,58.96875,1.0
17868,59.0234375,1.0
17969,59.0390625,1.0
18070,59.109375,1.0
18170,59.1171875,1.0
18270,59.1640625,1.0
18370,59.28125,1.0
18470,59.203125,1.0
18570,59.328125,1.0
18671,59.3671875,1.0
18771,59.390625,1.0
18872,59.515625,1.0
18973,59.4453125,1.0
19073,59.5625,1.0
19173,59.578125,1.0
19274,59.5859375,1.0
19374,59.625,1.0
19474,59.6640625,1.0
19575,59.7578125,1.0
19676,59.765625,1.0
19776,59.8046875,1.0
19876,59.8828125,1.0
19976,59.9296875,1.0
20076,59.9765625,1.0
20176,59.9921875,1.0
20276,60.0234375,1.0
20377,60.1640625,1.0
20478,60.140625,1.0
20578,60.296875,1.0
20679,60.2734375,1.0
20779,60.359375,1.0
20879,60.28125,1.0
20980,60.4296875,1.0
21080,60.359375,1.0
21180,60.4375,1.0
21281,60.4609375,1.0
21382,60.484375,1.0
21482,60.578125,1.0
21582,60.59375,1.0
21682,60.671875,1.0
21782,60.71875,1.0
